2	11
4	73
6	171
8	314
10	502
12	692
14	893
16	1082
18	1403
20	1684
22	1965
24	2264
26	2633
28	3042
30	3445
32	3844
34	4176
36	4308
38	4372
40	4130
42	3859
44	3557
46	3313
48	3004
50	2624
52	2272
54	1986
56	1722
58	1514
60	1332
62	1152
64	1003
66	863
68	767
70	666
72	578
74	505
76	427
78	367
80	321
82	278
84	239
86	207
88	176
90	152
92	129
94	121
96	110
98	95
100	84
102	77
104	67
106	55
108	45
110	40
112	34
114	27
116	23
118	21
120	19
122	18
124	16
126	15
130	13
132	11
134	10
136	8
138	7
144	6
146	5
148	3
156	2
158	1
182	0
200	0
